Город/день,,26-05,27-05,28-05,29-05,30-05,Средняя,Рейтинг
MOSCOW,"Температура, среднее",17.727,13.091,12.182,12.0,,11.0,8
,"Без осадков, часов",7,0,0,1,0,1.6,
PARIS,"Температура, среднее",17.636,17.364,17.0,,,10.4,14
,"Без осадков, часов",9,11,11,0,0,6.2,
LONDON,"Температура, среднее",17.364,16.273,14.636,,,9.654545454545456,15
,"Без осадков, часов",11,11,11,0,0,6.6,
BERLIN,"Температура, среднее",19.273,16.0,13.636,,,9.781818181818181,11
,"Без осадков, часов",9,6,0,0,0,3.0,
BEIJING,"Температура, среднее",31.818,32.727,33.818,28.167,,25.30606060606061,2
,"Без осадков, часов",11,11,11,6,0,7.8,
KAZAN,"Температура, среднее",12.545,13.727,14.727,14.0,,11.0,9
,"Без осадков, часов",6,0,3,1,0,2.0,
SPETERSBURG,"Температура, среднее",12.182,11.818,11.636,12.0,,9.527272727272727,10
,"Без осадков, часов",3,0,0,1,0,0.8,
VOLGOGRAD,"Температура, среднее",22.091,21.909,25.636,25.0,,18.92727272727273,5
,"Без осадков, часов",11,11,11,1,0,6.8,
NOVOSIBIRSK,"Температура, среднее",24.909,22.455,23.273,22.2,,18.567272727272726,6
,"Без осадков, часов",11,11,11,5,0,7.6,
KALININGRAD,"Температура, среднее",15.364,12.818,11.636,,,7.963636363636363,13
,"Без осадков, часов",9,2,1,0,0,2.4,
ABUDHABI,"Температура, среднее",34.818,34.455,33.818,34.0,,27.418181818181818,1
,"Без осадков, часов",11,11,11,2,0,7.0,
WARSZAWA,"Температура, среднее",19.636,14.0,12.818,,,9.290909090909093,12
,"Без осадков, часов",11,3,0,0,0,2.8,
BUCHAREST,"Температура, среднее",27.455,26.091,27.818,18.0,,19.87272727272727,4
,"Без осадков, часов",11,11,11,1,0,6.8,
ROMA,"Температура, среднее",29.0,29.273,25.545,,,16.763636363636362,7
,"Без осадков, часов",11,11,11,0,0,6.6,
CAIRO,"Температура, среднее",32.545,33.182,34.455,,,20.036363636363635,3
,"Без осадков, часов",11,11,11,0,0,6.6,
